                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                 0.7421,                0.39678,                 0.9663,                0.95061,                0.91078,                0.95961,                0.75512,                0.92672,                0.57446,                 1.1034,              0.0004952,              0.0004952,              0.0004952
                     78,                0.74301,                0.40786,                0.96187,                0.95131,                 0.9145,                0.96186,                0.75925,                0.91494,                0.57701,                    1.1,              0.0004754,              0.0004754,              0.0004754
                     79,                0.74797,                0.40839,                0.96661,                0.95536,                0.91264,                 0.9685,                0.76235,                0.92985,                0.55605,                  1.111,              0.0004556,              0.0004556,              0.0004556
                     80,                0.72799,                0.39457,                0.96096,                0.95495,                0.90627,                0.95925,                0.75638,                0.92163,                0.58224,                 1.1181,              0.0004358,              0.0004358,              0.0004358
                     81,                0.73609,                0.39771,                0.96486,                0.94858,                0.90892,                0.96055,                0.75895,                0.91997,                0.58445,                 1.1066,               0.000416,               0.000416,               0.000416
                     82,                0.73628,                 0.3999,                0.97033,                0.94811,                0.92193,                0.96512,                0.76244,                0.91746,                0.56065,                 1.1093,              0.0003962,              0.0003962,              0.0003962
                     83,                0.73502,                0.40016,                0.96401,                0.93671,                 0.9145,                0.96487,                0.75453,                0.92223,                0.56655,                 1.1005,              0.0003764,              0.0003764,              0.0003764
                     84,                0.73029,                 0.3922,                0.96979,                0.92102,                0.92565,                0.96489,                0.76539,                0.91259,                0.56943,                  1.103,              0.0003566,              0.0003566,              0.0003566
                     85,                0.72067,                0.38453,                0.96098,                0.93891,                0.91424,                0.96279,                0.76323,                0.91999,                0.55478,                 1.1113,              0.0003368,              0.0003368,              0.0003368
                     86,                0.71737,                0.38774,                0.96062,                0.93636,                0.92007,                0.96358,                0.76591,                0.91104,                0.55266,                 1.0967,               0.000317,               0.000317,               0.000317
                     87,                0.72772,                 0.3935,                0.95708,                0.96249,                0.90625,                0.96643,                0.76529,                0.91985,                0.55965,                 1.1106,              0.0002972,              0.0002972,              0.0002972
                     88,                0.70111,                 0.3733,                0.94823,                0.94844,                0.92325,                0.96691,                0.76496,                0.92487,                0.55105,                 1.1151,              0.0002774,              0.0002774,              0.0002774
                     89,                0.70742,                 0.3769,                0.94835,                   0.95,                0.91831,                 0.9676,                0.77159,                0.90885,                 0.5703,                  1.103,              0.0002576,              0.0002576,              0.0002576
                     90,                0.71779,                0.39046,                0.96457,                0.95015,                0.92104,                0.96767,                0.76718,                0.90856,                 0.5602,                 1.0996,              0.0002378,              0.0002378,              0.0002378
                     91,                0.66421,                0.34051,                0.93952,                 0.9529,                 0.9145,                0.96703,                0.76216,                0.92022,                0.55959,                 1.1148,               0.000218,               0.000218,               0.000218
                     92,                0.65664,                0.32895,                 0.9342,                0.95438,                 0.9145,                0.96712,                0.76297,                0.92709,                0.55842,                 1.1175,              0.0001982,              0.0001982,              0.0001982
                     93,                0.65267,                0.32806,                0.92788,                 0.9581,                0.91822,                0.96984,                0.75961,                0.93772,                0.54677,                 1.1369,              0.0001784,              0.0001784,              0.0001784
                     94,                0.64028,                0.31803,                0.92801,                0.94724,                0.91822,                0.97098,                0.76558,                0.92753,                0.54883,                 1.1305,              0.0001586,              0.0001586,              0.0001586
                     95,                0.63903,                0.31461,                0.92957,                0.94506,                0.92726,                0.97003,                0.76469,                0.93589,                0.54031,                 1.1276,              0.0001388,              0.0001388,              0.0001388
                     96,                0.63104,                0.31208,                0.92211,                0.95017,                0.92155,                0.97094,                0.76701,                 0.9248,                0.53857,                 1.1223,               0.000119,               0.000119,               0.000119
                     97,                0.62941,                0.30885,                0.92256,                 0.9474,                0.92379,                0.96817,                0.76463,                0.92892,                0.54651,                 1.1263,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.62778,                 0.3047,                0.92228,                0.94168,                0.93043,                0.96911,                0.76641,                0.93141,                0.54339,                 1.1291,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.62632,                0.30457,                0.91558,                0.94971,                0.92379,                0.96966,                0.76764,                 0.9192,                0.55353,                 1.1185,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.62568,                 0.3082,                0.92047,                 0.9563,                 0.9145,                0.96862,                0.77011,                0.91915,                0.54745,                 1.1209,               3.98e-05,               3.98e-05,               3.98e-05
